Effectively, you can | Basicamente, podemos
That is completely understandable. | Isso é completamente compreensível.
Let me see what options are available for you. | Deixa eu ver quais opções estão disponíveis para você.
I want to make this right for you. | Quero resolver isso da melhor forma para você.
Could you please confirm your email address? | Você poderia confirmar o seu endereço de e-mail?
I'll process that request right away. | Vou processar essa solicitação agora mesmo.
Thank you for choosing us. | Obrigado por nos escolher.
I'll make sure this doesn't happen again. | Vou garantir que isso não aconteça novamente.
Could you describe the issue in more detail? | Você poderia descrever o problema com mais detalhes?
We truly appreciate your business. | Valorizamos muito a sua parceria.
I'll connect you with a specialist. | Vou te conectar com um especialista.
Is there a convenient time to call you back? | Há um horário conveniente para te ligar de volta?
I'll take full responsibility for this. | Vou assumir total responsabilidade por isso.
Could you please confirm the date of the issue? | Você poderia confirmar a data do problema?
Let me review your account information. | Deixa eu verificar as informações da sua conta.
I assure you this will be our top priority. | Garanto que isso será nossa prioridade máxima.
We have a solution ready for you. | Temos uma solução pronta para você.
I appreciate you bringing this to our attention. | Agradeço por trazer isso ao nosso conhecimento.
Could you hold for two minutes please? | Você poderia aguardar dois minutos, por favor?
I'll arrange that for you immediately. | Vou providenciar isso para você imediatamente.
Let me summarize what we discussed. | Deixa eu resumir o que discutimos.
Is there anything else you would like to add? | Há mais alguma coisa que você gostaria de acrescentar?
I completely take responsibility for this error. | Assumo total responsabilidade por este erro.
We will resolve this within twenty four hours. | Resolveremos isso dentro de vinte e quatro horas.
Could you please confirm your contact number? | Você poderia confirmar o seu número de contato?
I'll send you a follow-up email right away. | Vou te enviar um e-mail de acompanhamento agora mesmo.
Thank you so much for your patience today. | Muito obrigado pela sua paciência hoje.
Let me offer you a couple of options. | Deixa eu te oferecer algumas opções.
I want to personally thank you for your feedback. | Quero te agradecer pessoalmente pelo seu feedback.
Could you walk me through what happened? | Você poderia me explicar o que aconteceu?
I understand this is urgent for you. | Entendo que isso é urgente para você.
We are committed to making this right. | Estamos comprometidos em resolver isso.
I'll flag this as a high priority case. | Vou marcar isso como um caso de alta prioridade.
Could you give me just one more minute? | Você poderia me dar apenas mais um minuto?
I want to make sure you leave satisfied. | Quero garantir que você saia satisfeito.
Let me check if there are any updates. | Deixa eu verificar se há alguma atualização.
I completely own this situation. | Assumo total responsabilidade por esta situação.
Could you please confirm your department? | Você poderia confirmar o seu departamento?
We are doing everything we can to help you. | Estamos fazendo tudo o que podemos para te ajudar.
I'll coordinate with my team on this. | Vou me coordenar com meu time sobre isso.
Thank you for giving us the opportunity to help. | Obrigado por nos dar a oportunidade de ajudar.
Let me make sure I have all the details right. | Deixa eu garantir que tenho todos os detalhes corretos.
I will not stop until this is resolved. | Não vou parar até que isso seja resolvido.
Could you please rate your experience today? | Você poderia avaliar a sua experiência hoje?
We really appreciate you taking the time. | Agradecemos muito o seu tempo.
I'll be your point of contact from now on. | Serei o seu ponto de contato a partir de agora.
Is there a better way I can support you? | Há uma forma melhor de eu te apoiar?
I hope we exceeded your expectations today. | Espero que tenhamos superado suas expectativas hoje.
Thank you for trusting us with this matter. | Obrigado por confiar a nós este assunto.
It was a pleasure assisting you today. | Foi um prazer te atender hoje.
Please don't hesitate to reach out anytime. | Não hesite em entrar em contato a qualquer momento.

We explored AI opportunities. | Nós exploramos oportunidades com IA.
I supported design improvements. | Eu apoiei melhorias de design.
We focused on customer needs. | Nós focamos nas necessidades do cliente.
I prioritized performance. | Eu priorizei performance.
We enhanced product quality. | Nós melhoramos a qualidade do produto.
I followed industry trends. | Eu acompanhei tendências do setor.
We solved complex challenges. | Nós resolvemos desafios complexos.
I contributed to innovation. | Eu contribuí para inovação.
We improved product positioning. | Nós melhoramos o posicionamento do produto.
I supported development teams. | Eu apoiei os times de desenvolvimento.

We gathered market insights. | Nós coletamos insights de mercado.
I analyzed customer feedback. | Eu analisei feedback dos clientes.
We improved decision making. | Nós melhoramos a tomada de decisão.
I aligned retail and wholesale. | Eu alinhei varejo e atacado.
We strengthened our strategy. | Nós fortalecemos nossa estratégia.
I adapted to local needs. | Eu me adaptei às necessidades locais.
We customized our approach. | Nós personalizamos nossa abordagem.
I supported brand positioning. | Eu apoiei posicionamento de marca.
We improved customer reach. | Nós ampliamos o alcance de clientes.
I helped break barriers. | Eu ajudei a quebrar barreiras.

I saw opportunities for growth. | Eu vi oportunidades de crescimento.
We expanded market presence. | Nós expandimos presença de mercado.
I shared best practices. | Eu compartilhei boas práticas.
We learned from each market. | Nós aprendemos com cada mercado.
I applied knowledge locally. | Eu apliquei conhecimento localmente.
We improved execution. | Nós melhoramos a execução.
I focused on operations. | Eu foquei em operações.
We ensured quality delivery. | Nós garantimos qualidade na entrega.
I respected deadlines. | Eu respeitei prazos.
We delivered on time. | Nós entregamos no prazo.

I understood we are a service business. | Eu entendi que somos um negócio de serviço.
We focused on customer experience. | Nós focamos na experiência do cliente.
I contributed to team success. | Eu contribuí para o sucesso do time.
We worked collaboratively. | Nós trabalhamos de forma colaborativa.
I took ownership of tasks. | Eu assumi responsabilidade pelas tarefas.
We promoted transparency. | Nós promovemos transparência.
I acted with accountability. | Eu atuei com responsabilidade.
We empowered each other. | Nós fortalecemos uns aos outros.
I supported collaboration. | Eu apoiei colaboração.
We worked as one team. | Nós trabalhamos como um time.

I felt proud of the results. | Eu me senti orgulhoso dos resultados.
We strengthened our position. | Nós fortalecemos nossa posição.
I believed in our direction. | Eu acreditei na nossa direção.
We led the industry. | Nós lideramos o setor.
I contributed to the vision. | Eu contribuí para a visão.
We aimed to impact lives. | Nós buscamos impactar vidas.
I stayed committed to the mission. | Eu permaneci comprometido com a missão.
We built something meaningful. | Nós construímos algo significativo.
I trusted the journey. | Eu confiei na jornada.
We moved forward together. | Nós avançamos juntos.
Antonio lived with his grandfather. | Antonio viveu com seu avô.
His father had died. | Seu pai tinha morrido.
He loved to go to the stone-yard. | Ele amava ir ao depósito de pedras.
He played among the chips. | Ele brincava entre as lascas.
He sculpted little figures. | Ele esculpia pequenas figuras.
His skill surprised his grandfather. | Sua habilidade surpreendeu seu avô.
His grandmother told him stories. | Sua avó contou histórias para ele.
The stories filled his mind. | As histórias preencheram sua mente.
He tried to recreate the images. | Ele tentou recriar as imagens.
A rich man lived in the town. | Um homem rico vivia na cidade.
The Count hosted grand dinners. | O Conde dava grandes jantares.
His grandfather helped in the kitchen. | Seu avô ajudava na cozinha.
Antonio went with his grandfather. | Antonio foi com seu avô.
He helped to clean up. | Ele ajudava a limpar.
The staff prepared the table. | A equipe preparou a mesa.
There was a crash in the room. | Houve um estrondo na sala.
A man broke the statue. | Um homem quebrou a estátua.
He became afraid. | Ele ficou com medo.
The table would look empty. | A mesa ficaria vazia.
The Count would be angry. | O Conde ficaria irritado.
The staff trembled. | A equipe tremeu.
They feared punishment. | Eles temeram punição.
Everything depended on the table. | Tudo dependia da mesa.
They asked what to do. | Eles perguntaram o que fazer.
Antonio approached the man. | Antonio se aproximou do homem.
He offered a solution. | Ele ofereceu uma solução.
The man doubted him. | O homem duvidou dele.
Antonio insisted on trying. | Antonio insistiu em tentar.
The grandfather supported him. | O avô apoiou ele.
They allowed him to try. | Eles permitiram que ele tentasse.
There was a large piece of butter. | Havia um grande pedaço de manteiga.
Antonio used a knife. | Antonio usou uma faca.
He shaped the butter. | Ele moldou a manteiga.
He created a lion. | Ele criou um leão.
The staff admired the work. | A equipe admirou o trabalho.
They said it was beautiful. | Eles disseram que era lindo.
The statue replaced the broken one. | A estátua substituiu a quebrada.
The table looked perfect. | A mesa parecia perfeita.
The guests arrived for dinner. | Os convidados chegaram para o jantar.
They saw the lion. | Eles viram o leão.
They praised the artwork. | Eles elogiaram a obra.
They asked who made it. | Eles perguntaram quem fez.
The Count was surprised. | O Conde ficou surpreso.
He called the staff. | Ele chamou a equipe.
They explained everything. | Eles explicaram tudo.
The Count called Antonio. | O Conde chamou Antonio.
He praised the boy. | Ele elogiou o menino.
The guests recognized his talent. | Os convidados reconheceram seu talento.
They admired him. | Eles admiraram ele.
The dinner became a celebration. | O jantar se tornou uma celebração.
The Count invited him to live there. | O Conde convidou ele para morar lá.
He studied with great artists. | Ele estudou com grandes artistas.
He learned to sculpt marble. | Ele aprendeu a esculpir mármore.
He became a great sculptor. | Ele se tornou um grande escultor.
I like to start early. | Eu gosto de começar cedo.
I like to check my email. | Eu gosto de checar meu e-mail.
I like to plan my day. | Eu gosto de planejar meu dia.
I need to finish this today. | Eu preciso finalizar isso hoje.
I need to review this file. | Eu preciso revisar esse arquivo.
I need to update the report. | Eu preciso atualizar o relatório.
I need help with this. | Eu preciso de ajuda com isso.
I have to join a meeting. | Eu tenho que entrar em uma reunião.
I have to call a client. | Eu tenho que ligar para um cliente.
I have to send an update. | Eu tenho que enviar uma atualização.
I want to confirm the date. | Eu quero confirmar a data.
I want to confirm the amount. | Eu quero confirmar o valor.
I want to make sure it’s correct. | Eu quero ter certeza de que está correto.
I’m here to help. | Eu estou aqui para ajudar.
I’m available now. | Eu estou disponível agora.
I’m not available now. | Eu não estou disponível agora.
I’m in a meeting. | Eu estou em reunião.
I’m working on it. | Eu estou cuidando disso.
I’m almost done. | Eu estou quase terminando.
I’m ready to send it. | Eu estou pronto para enviar.
I’m going to send it today. | Eu vou enviar isso hoje.
I’m going to check it now. | Eu vou checar isso agora.
I’m going to fix it. | Eu vou corrigir isso.
I’ll send it in a minute. | Eu envio em um minuto.
I’ll send it by end of day. | Eu envio até o fim do dia.
I’ll call you later. | Eu te ligo mais tarde.
I’ll get back to you soon. | Eu te retorno em breve.
Can you send me the file? | Você pode me enviar o arquivo?
Can you confirm the number? | Você pode confirmar o número?
Can you repeat that, please? | Você pode repetir, por favor?
Can you share the link? | Você pode compartilhar o link?
Could you help me with this? | Você pode me ajudar com isso?
Could you check this for me? | Você pode checar isso para mim?
Could you resend it? | Você pode reenviar?
Please give me a moment. | Me dá um momento, por favor.
Please send it again. | Por favor, envie de novo.
Please let me know. | Por favor, me avise.
Let’s align on this. | Vamos alinhar isso.
Let’s check this together. | Vamos checar isso juntos.
Let’s decide today. | Vamos decidir hoje.
What is the priority today? | Qual é a prioridade de hoje?
What is the deadline? | Qual é o prazo?
What is the next step? | Qual é o próximo passo?
Do you have a minute? | Você tem um minuto?
Do you have the latest version? | Você tem a versão mais recente?
Is this correct? | Isso está correto?
Is everything okay? | Está tudo certo?
There is an issue. | Tem um problema.
There was a mistake. | Teve um erro.
I fixed it. | Eu corrigi.
The King bought a large bell. | O rei comprou um grande sino.
He hung it in the marketplace. | Ele pendurou na praça.
A rope reached the ground. | Uma corda alcançava o chão.
Anyone could ring the bell. | Qualquer pessoa podia tocar o sino.
The King called it the Bell of Justice. | O rei chamou de Sino da Justiça.
People gathered to see it. | As pessoas se reuniram para vê-lo.
They expected the King to ring it. | Eles esperaram o rei tocar o sino.
The King raised his hand. | O rei levantou a mão.
He gave instructions to the people. | Ele deu instruções ao povo.
The bell was for times of need. | O sino era para momentos de necessidade.
Judges would come when it rang. | Os juízes viriam quando ele tocasse.
They would hear the case. | Eles ouviriam o caso.
They would give justice. | Eles dariam justiça.
Everyone would be judged equally. | Todos seriam julgados igualmente.
The bell was used many times. | O sino foi usado muitas vezes.
Problems were resolved. | Problemas foram resolvidos.
Criminals were punished. | Criminosos foram punidos.
The rope became old and thin. | A corda ficou velha e fina.
Only tall people could reach it. | Apenas pessoas altas conseguiam alcançar.
The judges became concerned. | Os juízes ficaram preocupados.
They ordered a new rope. | Eles ordenaram uma nova corda.
No rope was available. | Nenhuma corda estava disponível.
They sent for one far away. | Eles mandaram buscar longe.
It would take weeks to arrive. | Levaria semanas para chegar.
A man offered a solution. | Um homem ofereceu uma solução.
He brought a vine. | Ele trouxe uma videira.
He tied it to the bell. | Ele amarrou no sino.
The vine reached the ground. | A videira alcançou o chão.
The judges approved it. | Os juízes aprovaram.
A knight lived nearby. | Um cavaleiro vivia por perto.
He had a loyal horse. | Ele tinha um cavalo leal.
He became greedy for gold. | Ele ficou ganancioso por ouro.
He sold everything he had. | Ele vendeu tudo que tinha.
He kept only the horse. | Ele manteve apenas o cavalo.
He neglected the horse. | Ele negligenciou o cavalo.
The horse became weak. | O cavalo ficou fraco.
He suffered from hunger. | Ele sofreu com fome.
The knight abandoned the horse. | O cavaleiro abandonou o cavalo.
The horse wandered alone. | O cavalo vagou sozinho.
He found the marketplace. | Ele encontrou a praça.
He saw the vine rope. | Ele viu a corda de planta.
The leaves were fresh. | As folhas estavam frescas.
He tried to eat them. | Ele tentou comer elas.
He pulled the vine. | Ele puxou a videira.
The bell started ringing. | O sino começou a tocar.
People heard the bell. | As pessoas ouviram o sino.
The judges arrived quickly. | Os juízes chegaram rapidamente.
They saw the horse. | Eles viram o cavalo.
People recognized the situation. | As pessoas reconheceram a situação.
They accused the knight. | Eles acusaram o cavaleiro.
A crowd gathered. | Uma multidão se reuniu.
They testified against him. | Eles testemunharam contra ele.
The judges called the knight. | Os juízes chamaram o cavaleiro.
They made a decision. | Eles tomaram uma decisão.
They ordered justice. | Eles ordenaram justiça.
The horse had served him well. | O cavalo o serviu bem.
They gave half of his gold. | Eles deram metade do ouro dele.
They bought a field for the horse. | Eles compraram um campo para o cavalo.
They built a stable. | Eles construíram um estábulo.
The knight felt ashamed. | O cavaleiro se sentiu envergonhado.
People celebrated the decision. | As pessoas celebraram a decisão.
The horse received care. | O cavalo recebeu cuidado.
He finally had a good life. | Ele finalmente teve uma boa vida.
I usually start early. | Eu geralmente começo cedo.
I just checked my email. | Eu acabei de checar meu e-mail.
I’m planning my day now. | Estou planejando meu dia agora.
I still need to finish this. | Eu ainda preciso terminar isso.
I need to double-check this. | Eu preciso conferir isso de novo.
I need to make an adjustment. | Eu preciso fazer um ajuste.
I have a meeting now. | Eu tenho uma reunião agora.
I have another task first. | Eu tenho outra tarefa antes.
I have something to review. | Eu tenho algo para revisar.
I want to be sure. | Eu quero ter certeza.
I want to avoid mistakes. | Eu quero evitar erros.
I want to keep this simple. | Eu quero manter isso simples.
I’m checking this now. | Eu estou checando isso agora.
I’m reviewing the file. | Eu estou revisando o arquivo.
I’m preparing an update. | Eu estou preparando uma atualização.
I’m almost finished here. | Eu estou quase finalizando aqui.
I’m ready when you are. | Eu estou pronto quando você estiver.
I’m free in a minute. | Eu fico livre em um minuto.
I’ll send it shortly. | Eu envio em instantes.
I’ll take a look at it. | Eu vou dar uma olhada nisso.
I’ll handle it today. | Eu resolvo isso hoje.
I’ll follow up later. | Eu acompanho isso mais tarde.
I’ll keep you posted. | Eu te mantenho informado.
I’ll update you today. | Eu te atualizo hoje.
Can we talk later? | Podemos falar mais tarde?
Can we review this together? | Podemos revisar isso juntos?
Can you take a look? | Você pode dar uma olhada?
Please wait a moment. | Por favor, aguarde um momento.
Please check this. | Por favor, cheque isso.
Please confirm when ready. | Por favor, confirme quando estiver pronto.
Let’s review this. | Vamos revisar isso.
Let’s keep moving. | Vamos seguir.
Let’s finalize this today. | Vamos finalizar isso hoje.
What do you think? | O que você acha?
When can we talk? | Quando podemos falar?
Who is responsible for this? | Quem é o responsável por isso?
I see the problem now. | Eu vejo o problema agora.
That looks correct. | Isso parece correto.
Everything is fine now. | Está tudo certo agora.
I’m ready now | Eu estou pronto agora
I’m ready to go | Eu estou pronto pra ir
I need to know | Eu preciso saber
I need to go | Eu preciso ir
Daedalus created complex paths. | Dédalo criou caminhos complexos.
He was a brilliant inventor. | Ele era um inventor brilhante.
King Minos kept him prisoner. | O rei Minos o manteve prisioneiro.
He lived with his son Icarus. | Ele viveu com seu filho Ícaro.
They stayed in a tower. | Eles ficaram em uma torre.
The king forced him to work. | O rei o forçou a trabalhar.
He built weapons of war. | Ele construiu armas de guerra.
He wanted to return home. | Ele quis voltar para casa.
Icarus dreamed of freedom. | Ícaro sonhou com liberdade.
Daedalus studied the sea. | Dédalo estudou o mar.
He realized escape was difficult. | Ele percebeu que escapar era difícil.
He created a plan. | Ele criou um plano.
He asked for feathers and wax. | Ele pediu penas e cera.
He organized the feathers. | Ele organizou as penas.
He built wings carefully. | Ele construiu asas cuidadosamente.
He used string and wax. | Ele usou barbante e cera.
Icarus played with the wax. | Ícaro brincou com a cera.
He chased feathers in the air. | Ele perseguiu penas no ar.
Daedalus showed the wings. | Dédalo mostrou as asas.
He tested the wings. | Ele testou as asas.
He lifted off the ground. | Ele saiu do chão.
Icarus wanted to try. | Ícaro quis tentar.
They practiced flying. | Eles praticaram voar.
Icarus improved quickly. | Ícaro melhorou rapidamente.
They prepared to escape. | Eles se prepararam para fugir.
Daedalus gave instructions. | Dédalo deu instruções.
He warned about the sea. | Ele alertou sobre o mar.
He warned about the sun. | Ele alertou sobre o sol.
Icarus understood the rules. | Ícaro entendeu as regras.
They jumped into the sky. | Eles pularam no céu.
They flew over the sea. | Eles voaram sobre o mar.
Icarus felt afraid at first. | Ícaro sentiu medo no início.
He began to enjoy flying. | Ele começou a gostar de voar.
He followed the birds. | Ele seguiu os pássaros.
His father warned him. | Seu pai o alertou.
He flew carefully for a while. | Ele voou com cuidado por um tempo.
He caught a warm air current. | Ele pegou uma corrente de ar quente.
He flew higher easily. | Ele voou mais alto facilmente.
He felt excited. | Ele se sentiu empolgado.
He ignored the warnings. | Ele ignorou os avisos.
He flew too close to the sun. | Ele voou muito perto do sol.
The wax began to melt. | A cera começou a derreter.
The wings lost their shape. | As asas perderam a forma.
Feathers started falling. | As penas começaram a cair.
He panicked. | Ele entrou em pânico.
He moved his arms desperately. | Ele moveu os braços desesperadamente.
He lost the power to fly. | Ele perdeu o poder de voar.
He fell into the sea. | Ele caiu no mar.
It was too late to save him. | Era tarde demais para salvá-lo.
I’m on my way | Eu estou a caminho
I’m here to stay | Eu estou aqui pra ficar
Let me see | Deixa eu ver
Let me be | Deixa eu ficar
I’ll do it today | Eu faço isso hoje
I’ll do it my way | Eu faço do meu jeito
I can stay | Eu posso ficar
I can wait | Eu posso esperar
I feel good | Eu me sinto bem
I feel fine | Eu me sinto bem
I’ll be there | Eu estarei lá
I’ll be fair | Eu serei justo
Take your time | Leva o seu tempo
I’m in no rush | Não estou com pressa
I see you now | Eu te vejo agora
I see it clear | Eu vejo claro
I’ll say yes | Eu vou dizer sim
I’ll say no | Eu vou dizer não
We move on | A gente segue
We stay strong | A gente fica firme
I’m still here | Eu ainda estou aqui
I’m still in | Eu ainda estou dentro
I’ll check it soon | Eu vou checar já já
I’ll check it now | Eu vou checar agora
I’ll send it today | Eu vou enviar hoje
I’ll send it your way | Eu vou mandar pra você
I need one thing | Eu preciso de uma coisa
I need one more | Eu preciso de mais uma
Let’s start today | Vamos começar hoje
Let’s start right now | Vamos começar agora
We can do it | A gente consegue
We will do it | A gente vai fazer
I’m on it | Eu tô nisso
I’m on time | Eu tô no horário
It’s all good | Tá tudo bem
It’s going well | Tá indo bem
I’m not sure | Eu não tenho certeza
I’m sure now | Agora eu tenho certeza
Just one minute | Só um minuto
Just a second | Só um segundo
We need to talk | A gente precisa conversar
We need to walk | A gente precisa ir andando
I’ll be back | Eu já volto
I’ll be right back | Eu volto rapidinho
Let’s move on | Vamos seguir
Let’s keep going | Vamos continuar
I hope you know, I hope you know | Eu espero que você saiba, eu espero que você saiba
This isn’t about you | Isso não é sobre você
It’s on my side | É do meu lado
Me, myself, and I | Eu comigo mesmo
I have to sort it out | Eu tenho que colocar isso em ordem
I have to move on | Eu tenho que seguir em frente
I’ll miss you for a while | Eu vou sentir sua falta por um tempo
Like a song in my head | Como uma música na minha cabeça
But I have to go | Mas eu tenho que ir
I have to keep going | Eu tenho que continuar
It’s time to be strong now | É hora de ser forte agora
And strong people don’t fall | E gente forte não cai
I hope you hear, I hope you hear | Eu espero que você ouça, eu espero que você ouça
This is hard for me | Isso é difícil pra mim
It’s not a fight | Não é uma briga
It’s just a change | É só uma mudança
I need some space | Eu preciso de um espaço
I need a fresh start | Eu preciso recomeçar
I’ll miss the good days | Eu vou sentir falta dos bons dias
But I can’t stay | Mas eu não posso ficar
I have to choose my life | Eu tenho que escolher minha vida
It’s time to grow up | É hora de crescer
And grown-ups don’t stop | E adultos não param
I hope you see, I hope you see | Eu espero que você veja, eu espero que você veja
I’m doing my best | Eu estou fazendo o meu melhor
This is my path | Esse é meu caminho
This is my call | Essa é minha decisão
I have things to fix | Eu tenho coisas pra corrigir
I have things to do | Eu tenho coisas pra fazer
I’ll miss you like a home | Eu vou sentir sua falta como um lar
But I must move on | Mas eu preciso seguir
It’s time to stand tall | É hora de ficar de pé
And tall people don’t fold | E gente firme não dobra
I hope you know, I hope you know | Eu espero que você saiba, eu espero que você saiba
I’m not cold | Eu não sou frio
I’m just moving | Eu só estou seguindo
I’m just trying | Eu só estou tentando
I have to live | Eu tenho que viver
I have to breathe | Eu tenho que respirar
I’ll miss you, I’ll miss you | Eu vou sentir sua falta, eu vou sentir sua falta
But I need to go | Mas eu preciso ir
It’s time to be okay | É hora de ficar bem
And okay people don’t break | E quem fica bem não quebra
There was once, there was once | Era uma vez, era uma vez
A farmer and his wife | Um fazendeiro e sua esposa
She had been married before | Ela já tinha sido casada antes
Before, before | Antes, antes
Her first husband had died | O primeiro marido dela tinha morrido
And now she tried | E agora ela tentou de novo
She was married again | Ela estava casada de novo
Again, again | De novo, de novo
They lived on a remote farm | Eles moravam numa fazenda isolada
Far in the west | Longe, no oeste
In the west of England | No oeste da Inglaterra
And far from the rest | E longe do resto
What a pair, what a pair | Que dupla, que dupla
Of fools right there | De tolos bem ali
Which one was the most foolish? | Qual deles era o mais tolo?
Listen to the story | Escute a história
Decide for yourself | Decida você mesmo
In those days, in those days | Naqueles dias, naqueles dias
There lived an old soldier | Vivia um velho soldado
Called Jack Hannaford | Chamado Jack Hannaford
His coat was old | O casaco dele era velho
And he was poor | E ele era pobre
But nobody thought he was stupid | Mas ninguém achava que ele era bobo
He was sly like a fox | Ele era astuto como uma raposa
When he left the army | Quando ele deixou o exército
He walked all around | Ele andou por todo lado
All around the country | Pelo país inteiro
Looking for tricks | Procurando artimanhas
After some time, after some time | Depois de um tempo, depois de um tempo
He came across the farm | Ele deu de cara com a fazenda
The farm of the pair | A fazenda do casal
He knocked on the door | Ele bateu na porta
And a moment later | E um momento depois
The wife answered | A esposa respondeu
She looked him up and down | Ela olhou ele de cima a baixo
Quite surprised | Bem surpresa
“Where did you come from?” | “De onde você veio?”
There was once a new project at work. | Era uma vez um novo projeto no trabalho.
There was once a deadline we could not miss. | Era uma vez um prazo que não podíamos perder.
There was once a report that needed a fix. | Era uma vez um relatório que precisava de correção.
There was once a client who needed help. | Era uma vez um cliente que precisava de ajuda.
There was once a small mistake in payroll. | Era uma vez um pequeno erro na folha.
In those days, we did everything by email. | Naqueles dias, a gente fazia tudo por e-mail.
In those days, the process was manual. | Naqueles dias, o processo era manual.
In those days, I worked with a small team. | Naqueles dias, eu trabalhava com um time pequeno.
In those days, meetings were longer. | Naqueles dias, as reuniões eram mais longas.
In those days, the system was slower. | Naqueles dias, o sistema era mais lento.
After some time, the issue came back. | Depois de um tempo, o problema voltou.
After some time, we found the root cause. | Depois de um tempo, a gente achou a causa.
After some time, the client replied. | Depois de um tempo, o cliente respondeu.
After some time, the report was ready. | Depois de um tempo, o relatório ficou pronto.
After some time, we moved on. | Depois de um tempo, a gente seguiu em frente.
When I left the meeting, I sent the notes. | Quando eu saí da reunião, eu enviei as notas.
When she left the office, she called me. | Quando ela saiu do escritório, ela me ligou.
When we left the call, we were aligned. | Quando a gente saiu da call, a gente estava alinhado.
When he left the team, we updated the plan. | Quando ele saiu do time, a gente atualizou o plano.
When I left the task, it was still open. | Quando eu deixei a tarefa, ela ainda estava aberta.
I walked all around the office looking for you. | Eu andei pelo escritório todo procurando você.
I checked all around the system for the file. | Eu procurei no sistema todo pelo arquivo.
We looked all around the folder for the latest version. | A gente procurou na pasta toda pela versão mais recente.
I searched all around the emails for that message. | Eu procurei nos e-mails todos por aquela mensagem.
I looked all around the report for that number. | Eu procurei no relatório todo por aquele número.
I’m looking for ways to solve this. | Eu estou procurando maneiras de resolver isso.
We’re looking for ways to speed this up. | A gente está procurando maneiras de acelerar isso.
I’m looking for ways to avoid this mistake. | Eu estou procurando maneiras de evitar esse erro.
We’re looking for ways to simplify the process. | A gente está procurando maneiras de simplificar o processo.
I’m looking for ways to improve the report. | Eu estou procurando maneiras de melhorar o relatório.
I came across your email just now. | Eu vi seu e-mail agora.
I came across the same issue again. | Eu encontrei o mesmo problema de novo.
We came across a missing document. | A gente encontrou um documento faltando.
I came across a wrong value in the file. | Eu encontrei um valor errado no arquivo.
We came across a better option. | A gente encontrou uma opção melhor.
This task belongs to our team. | Essa tarefa é do nosso time.
This folder belongs to Finance. | Essa pasta é do Financeiro.
This request belongs to Payroll. | Essa solicitação é do Payroll.
This report belongs to this month. | Esse relatório é deste mês.
This decision belongs to the manager. | Essa decisão é do gestor.
I knocked on your door to talk. | Eu bati na sua porta para falar.
I knocked on your chat for a quick answer. | Eu te chamei no chat para uma resposta rápida.
We knocked on IT’s door for support. | A gente chamou o TI para suporte.
I knocked on the door of the HR office. | Eu bati na porta do RH.
I knocked on the door of the meeting room. | Eu bati na porta da sala de reunião.
A moment later, I got your reply. | Um momento depois, eu recebi sua resposta.
A moment later, the system came back. | Um momento depois, o sistema voltou.
A moment later, the value was corrected. | Um momento depois, o valor foi corrigido.
A moment later, we were on the call. | Um momento depois, a gente estava na call.
A moment later, the meeting started. | Um momento depois, a reunião começou.
There was once a payroll close that went late. | Teve uma vez um fechamento de folha que atrasou.
There was once a file we couldn’t find. | Teve uma vez um arquivo que a gente não achava.
There was once a wrong value in the report. | Teve uma vez um valor errado no relatório.
There was once an approval that didn’t come in time. | Teve uma vez uma aprovação que não veio a tempo.
There was once a payment that needed adjustment. | Teve uma vez um pagamento que precisou de ajuste.
In those days, we tracked everything in spreadsheets. | Naquela época, a gente controlava tudo em planilhas.
In those days, every change was done by email. | Naquela época, toda mudança era por e-mail.
In those days, we had to reconcile everything manually. | Naquela época, a gente precisava conciliar tudo na mão.
In those days, support took longer to reply. | Naquela época, o suporte demorava mais para responder.
In those days, the process was slower than today. | Naquela época, o processo era mais lento que hoje.
After some time, the employee replied with the missing info. | Depois de um tempo, o colaborador respondeu com a informação que faltava.
After some time, we found the root cause of the issue. | Depois de um tempo, a gente encontrou a causa do problema.
After some time, the numbers finally matched. | Depois de um tempo, os números finalmente bateram.
After some time, the ticket was updated by the vendor. | Depois de um tempo, o chamado foi atualizado pelo fornecedor.
After some time, we aligned with Finance on the impact. | Depois de um tempo, a gente alinhou com o Financeiro sobre o impacto.
When I left the meeting, I sent the summary. | Quando eu saí da reunião, eu enviei o resumo.
When I left the call, I updated the action items. | Quando eu saí da call, eu atualizei os próximos passos.
When I left the office, the file was still uploading. | Quando eu saí do escritório, o arquivo ainda estava subindo.
When I left the task, it was waiting for approval. | Quando eu deixei a tarefa, ela estava aguardando aprovação.
When I left the review, I flagged the issue. | Quando eu terminei a revisão, eu sinalizei o problema.
I walked all around the folder looking for the latest version. | Eu procurei a pasta inteira atrás da versão mais recente.
I walked all around the emails to find the approval. | Eu procurei nos e-mails todos para achar a aprovação.
I walked all around the report to find that number. | Eu procurei o relatório todo para achar aquele número.
I walked all around the system to locate the employee record. | Eu procurei no sistema todo para achar o cadastro do colaborador.
I walked all around the attachments to find the right file. | Eu procurei em todos os anexos para achar o arquivo certo.
I’m looking for a quick way to confirm this value. | Eu estou buscando um jeito rápido de confirmar esse valor.
I’m looking for the source of this difference. | Eu estou buscando a origem dessa diferença.
I’m looking for the correct version of the file. | Eu estou procurando a versão correta do arquivo.
I’m looking for the approval status. | Eu estou procurando o status da aprovação.
I’m looking for the deadline for this request. | Eu estou procurando o prazo dessa solicitação.
I came across a missing field in the form. | Eu encontrei um campo faltando no formulário.
